manufacturer,model_name,variant_name,manufacturing_year,showroom_price,fuel_type,engine_capacity_cc,body_type,seating_capacity,transmission,power_bhp,torque_nm,mileage_kmpl,safety_rating,features
Tesla,Model Y,Model Y,2025,₹59.89 - 73.89 Lakh,Electric,0,SUV,5,Automatic,295 bhp,Not Available,Not Applicable,Not Available,"Cruise Control, Alloy Wheels, Rear AC Vents, Automatic Climate Control, Keyless Entry, Touch Screen"
Rolls-Royce,Phantom,Phantom,2025,₹8.99 - 10.48 Cr,Petrol,6749,Sedan,5,Automatic,563,N/A,9.8,N/A,"Luxury interior, Advanced safety features, High-end infotainment system"
Rolls-Royce,Cullinan,Cullinan,2025,₹10.50 - 12.25 Cr,Petrol,6750,SUV,5,Automatic,563,N/A,6.6,N/A,"All-wheel drive, Luxury interior, Advanced safety features"
Rolls-Royce,Spectre,Spectre,2025,₹7.50 Cr,Electric,0,Coupe,4,Automatic,576.63,N/A,N/A,N/A,"Electric powertrain, Luxury interior, Advanced safety features"
Rolls-Royce,Ghost Series II,Ghost Series II,2025,₹8.95 - 10.52 Cr,Petrol,6750,Sedan,5,Automatic,563,N/A,N/A,N/A,"Luxury interior, Advanced safety features, High-end infotainment system"
BYD,Seal,Standard,2025,₹41 - 53.15 Lakh,Electric,0,Sedan,5,Automatic,523 bhp,N/A,N/A,5 Star,"650 km range, 82.56 kWh battery, 5 Star Safety Rating"
BYD,Atto 3,Standard,2025,₹24.99 - 33.99 Lakh,Electric,0,SUV,5,Automatic,201 bhp,N/A,N/A,5 Star,"521 km range, 60.48 kWh battery, 5 Star Safety Rating"
BYD,Sealion 7,Standard,2025,₹48.90 - 54.90 Lakh,Electric,0,SUV,5,Automatic,523 bhp,N/A,N/A,5 Star,"567 km range, 82.56 kWh battery, 5 Seats, 5 Star Safety Rating"
BYD,eMAX 7,Standard,2025,₹26.90 - 29.90 Lakh,Electric,0,MUV,6,Automatic,201 bhp,N/A,N/A,N/A,"530 km range, 71.8 kWh battery, 6, 7 Seats"
Jaguar,F-Pace,F-Pace,2025,₹72.90 Lakh,Diesel/Petrol,1997,SUV,5,Automatic,246.74 bhp,246.74 bhp,10.2 kmpl,Not specified,"Luxury SUV, High-quality materials, Touchscreen infotainment system, Adaptive cruise control, Panoramic sunroof"
