,manufacturer,model_name,variant_name,manufacturing_year,showroom_price,fuel_type,engine_capacity_cc,body_type,seating_capacity,transmission,power_bhp,torque_nm,mileage_kmpl,safety_rating,features
0,Tesla,Model Y,Model Y,2025,₹59.89 - 73.89 Lakh,Electric,0.0,SUV,5.0,Automatic,295 bhp,Not Available,Not Applicable,Not Available,"Cruise Control, Alloy Wheels, Rear AC Vents, Automatic Climate Control, Keyless Entry, Touch Screen"
1,Rolls-Royce,Phantom,Phantom,2025,₹8.99 - 10.48 Cr,Petrol,6749.0,Sedan,5.0,Automatic,563,,9.8,,"Luxury interior, Advanced safety features, High-end infotainment system"
2,Rolls-Royce,Cullinan,Cullinan,2025,₹10.50 - 12.25 Cr,Petrol,6750.0,SUV,5.0,Automatic,563,,6.6,,"All-wheel drive, Luxury interior, Advanced safety features"
3,Rolls-Royce,Spectre,Spectre,2025,₹7.50 Cr,Electric,0.0,Coupe,4.0,Automatic,576.63,,,,"Electric powertrain, Luxury interior, Advanced safety features"
4,Rolls-Royce,Ghost Series II,Ghost Series II,2025,₹8.95 - 10.52 Cr,Petrol,6750.0,Sedan,5.0,Automatic,563,,,,"Luxury interior, Advanced safety features, High-end infotainment system"
5,BYD,Seal,Standard,2025,₹41 - 53.15 Lakh,Electric,0.0,Sedan,5.0,Automatic,523 bhp,,,5 Star,"650 km range, 82.56 kWh battery, 5 Star Safety Rating"
6,BYD,Atto 3,Standard,2025,₹24.99 - 33.99 Lakh,Electric,0.0,SUV,5.0,Automatic,201 bhp,,,5 Star,"521 km range, 60.48 kWh battery, 5 Star Safety Rating"
7,BYD,Sealion 7,Standard,2025,₹48.90 - 54.90 Lakh,Electric,0.0,SUV,5.0,Automatic,523 bhp,,,5 Star,"567 km range, 82.56 kWh battery, 5 Seats, 5 Star Safety Rating"
8,BYD,eMAX 7,Standard,2025,₹26.90 - 29.90 Lakh,Electric,0.0,MUV,6.0,Automatic,201 bhp,,,,"530 km range, 71.8 kWh battery, 6, 7 Seats"
9,Jaguar,F-Pace,F-Pace,2025,₹72.90 Lakh,Diesel/Petrol,1997.0,SUV,5.0,Automatic,246.74 bhp,246.74 bhp,10.2 kmpl,Not specified,"Luxury SUV, High-quality materials, Touchscreen infotainment system, Adaptive cruise control, Panoramic sunroof"
10,Isuzu,D-Max,D-Max,2025,₹12.15 - 12.60 Lakh,Diesel,2499.0,Pickup Truck,2.0,Manual,77.77,,12,,"Power Steering, Power Windows, Anti-lock Braking System (ABS)"
11,Isuzu,MU-X,MU-X,2025,₹37 - 40.70 Lakh,Diesel,1898.0,SUV,7.0,Automatic,160.92,,13,,"6 Airbags, Hill Descent Control, Traction Control"
12,Isuzu,V-Cross,V-Cross,2025,₹26 - 31.46 Lakh,Diesel,1898.0,Pickup Truck,5.0,Manual/Automatic,160.92,,12.4,,"Alloy Wheels, Touchscreen Infotainment, Rear Parking Sensors"
13,Isuzu,S-CAB,S-CAB,2025,₹14.20 Lakh,Diesel,2499.0,Pickup Truck,5.0,Manual,77.77,,16.56,,"Power Steering, Power Windows, Anti-lock Braking System (ABS)"
14,Isuzu,S-CAB Z,S-CAB Z,2025,₹16.30 Lakh,Diesel,2499.0,Pickup Truck,5.0,Manual,77.77,,,,"Power Steering, Power Windows, Anti-lock Braking System (ABS)"
15,Isuzu,Hi-Lander,Hi-Lander,2025,₹21.80 Lakh,Diesel,1898.0,Pickup Truck,5.0,Manual,160.92,,12.4,,"Power Steering, Power Windows, Anti-lock Braking System (ABS)"
16,Lexus,ES,Standard,2025,₹64 - 69.70 Lakh,Petrol,2487.0,Sedan,5.0,Automatic,175.67,,18,,"Luxury interior, Advanced safety features, High fuel efficiency"
17,Lexus,LM,Standard,2025,₹2.10 - 2.62 Cr,Petrol,2487.0,MUV,4.0,Automatic,190.42,,,,"Spacious interior, Luxury features, Advanced technology"
18,Lexus,RX,Standard,2025,₹95.80 Lakh - 1.20 Cr,Petrol,2487.0,SUV,5.0,Automatic,268,,,,"Sporty design, Advanced safety features, High performance"
19,Lexus,LX,Standard,2025,₹2.84 - 3.12 Cr,Petrol,3346.0,SUV,5.0,Automatic,304.41,,5,,"Luxury interior, Off-road capability, Advanced technology"
20,Lexus,NX,Standard,2025,₹68.02 - 74.98 Lakh,Petrol,2487.0,SUV,5.0,Automatic,187.74,,9.5,,"Stylish design, Advanced safety features, High fuel efficiency"
21,Ferrari,SF90 Stradale,SF90 Stradale,2025,₹7.50 Cr,Petrol,3990.0,Coupe,2.0,Automatic,986 bhp,800 Nm,18 kmpl,,"Hybrid powertrain, Advanced aerodynamics, All-wheel drive, Adaptive suspension, High-performance brakes"
22,Ferrari,F8 Tributo,F8 Tributo,2025,₹4.02 Cr,Petrol,3902.0,Coupe,2.0,Automatic,710.74 bhp,770 Nm,5.8 kmpl,,"Turbocharged V8 engine, Aerodynamic design, Advanced infotainment system, High-performance tires, LED headlights"
23,Ferrari,Roma,Roma,2025,₹3.76 Cr,Petrol,3855.0,Coupe,2.0,Automatic,611.5 bhp,760 Nm,6 kmpl,,"Elegant design, Comfortable interior, Advanced safety features, Powerful engine, Infotainment system"
24,Ferrari,296 GTB,296 GTB,2025,₹5.40 Cr,Petrol,2992.0,Coupe,2.0,Automatic,818 bhp,740 Nm,15.62 kmpl,,"Hybrid technology, High-performance engine, Luxurious interior, Advanced driver assistance, Sporty handling"
25,Ferrari,812,812,2025,₹5.75 Cr,Petrol,6496.0,Coupe,2.0,Automatic,788.52 bhp,718 Nm,5.5 kmpl,,"V12 engine, Exceptional performance, Luxurious features, Advanced aerodynamics, High-tech infotainment"
26,Land Rover,Defender,Defender,2025,₹1.05 - 2.79 Cr,Diesel/Petrol,5000.0,SUV,5.0,Not specified,626 bhp,Not specified,14.01 kmpl,5 Star,"Luxury SUV, Off-road capability, High safety ratings"
27,Land Rover,Range Rover,Range Rover,2025,₹2.48 - 2.75 Cr,Diesel/Petrol,2997.0,SUV,5.0,Not specified,394 bhp,Not specified,13.16 kmpl,5 Star,"Luxury SUV, High performance, Advanced technology"
28,Land Rover,Range Rover Velar,Range Rover Velar,2025,₹84.90 - 89.90 Lakh,Diesel/Petrol,1997.0,SUV,5.0,Not specified,183.9 bhp,Not specified,15.8 kmpl,5 Star,"Luxury SUV, Stylish design, Advanced safety features"
29,Land Rover,Range Rover Sport,Range Rover Sport,2025,₹1.48 Cr,Diesel/Petrol,2998.0,SUV,5.0,Not specified,345.98 bhp,Not specified,Not specified,Not specified,"Sporty design, High performance, Luxury features"
30,Land Rover,Range Rover Evoque,Range Rover Evoque,2025,₹69.50 Lakh,Diesel/Petrol,1997.0,SUV,5.0,Not specified,247 bhp,Not specified,12.82 kmpl,Not specified,"Compact SUV, Luxury features, Stylish design"
31,Land Rover,Land Rover Discovery,Land Rover Discovery,2025,₹1.34 - 1.47 Cr,Diesel,2997.0,SUV,5.0,Not specified,296.36 bhp,Not specified,12.37 kmpl,5 Star,"Spacious interior, Luxury features, Off-road capability"
32,Land Rover,Land Rover Discovery Sport,Land Rover Discovery Sport,2025,₹67.90 Lakh,Diesel/Petrol,1999.0,SUV,7.0,Not specified,247 bhp,Not specified,Not specified,Not specified,"Family SUV, Spacious seating, Luxury features"
33,Force,Urbania,Urbania,2025,₹30.51 - 37.21 Lakh,Diesel,2596.0,Minivan,10.0,Manual,114 bhp,11 Nm,11 kmpl,,"Comfortable seating for 8-10 people, Decent mileage, Reclining seats, Sufficient power for family trips"
34,Force,Gurkha,Gurkha,2025,₹16.75 Lakh,Diesel,2596.0,SUV,4.0,Manual,138 bhp,,9.5 kmpl,,"Off-road capabilities, Powerful engine, Rugged design, Good for bad roads"
35,Force,Gurkha 5 Door,Gurkha 5 Door,2025,₹18 Lakh,Diesel,2596.0,SUV,7.0,Manual,138.08 bhp,,9.5 kmpl,,"Off-road capabilities, Spacious seating, Rugged design, Good for family trips"
36,Lamborghini,Urus,Urus,2025,₹4.18 - 4.57 Cr,Petrol,3999.0,SUV,5.0,Automatic,657.1 bhp,850 Nm,5.5 kmpl,4 Star,"Luxury interior, Advanced infotainment system, All-wheel drive, Adaptive air suspension"
37,Lamborghini,Revuelto,Revuelto,2025,₹8.89 Cr,Petrol,6498.0,Coupe,2.0,Automatic,1001.11 bhp,,,,"High-performance hybrid engine, Aerodynamic design, Advanced safety features"
38,Lamborghini,Temerario,Temerario,2025,₹6 Cr,Petrol,3995.0,Coupe,2.0,Automatic,907 bhp,,,,"Plug-in hybrid technology, Luxury interior, High-speed performance"
39,Lamborghini,Huracan EVO,Huracan EVO,2025,₹4 - 4.99 Cr,Petrol,5204.0,Coupe,2.0,Automatic,630.3 bhp,,5.9 kmpl,,"Dynamic steering, Advanced aerodynamics, Luxury interior"
40,Mclaren,GT,GT,2025,₹4.50 Cr,Petrol,3994.0,Coupe,2.0,Not specified,Not specified,Not specified,5.1 kmpl,Not specified,"Luxury interior, High performance, Advanced technology"
41,Mclaren,750S,750S,2025,₹5.91 Cr,Petrol,3994.0,Coupe,2.0,Not specified,740 bhp,Not specified,6.1 kmpl,Not specified,"High performance, Aerodynamic design, Luxury interior"
